,Rank,Title,Released,Rating,Genres,Description
144,145,Unforgiven,1992,8.2,"['Drama', 'Western']","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
145,146,A Beautiful Mind,2001,8.2,"['Biography', 'Drama', 'Mystery']","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
146,147,No Country for Old Men,2007,8.2,"['Crime', 'Drama', 'Thriller']",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
147,148,The Treasure of the Sierra Madre,1948,8.2,"['Adventure', 'Drama', 'Western']",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
148,149,Yôjinbô,1961,8.2,"['Action', 'Drama', 'Thriller']",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
149,150,The Thing,1982,8.2,"['Horror', 'Mystery', 'Sci-Fi']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
150,151,Kill Bill: Vol,2003,8.2,"['Action', 'Crime', 'Thriller']","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
151,152,Monty Python and the Holy Grail,1975,8.2,"['Adventure', 'Comedy', 'Fantasy']","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
152,153,The Great Escape,1963,8.2,"['Adventure', 'Drama', 'History']",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
153,154,Finding Nemo,2003,8.2,"['Animation', 'Adventure', 'Comedy']","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
154,155,Rashōmon,1950,8.2,"['Crime', 'Drama', 'Mystery']","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
155,156,The Elephant Man,1980,8.2,"['Biography', 'Drama']","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte... Read all"
156,157,Chinatown,1974,8.2,"['Drama', 'Mystery', 'Thriller']","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
157,158,Hauru No Ugoku Shiro,2004,8.2,"['Animation', 'Adventure', 'Family']","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ... Read all"
158,159,Prisoners,2013,8.1,"['Crime', 'Drama', 'Mystery']","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
159,160,Dial M for Murder,1954,8.2,"['Crime', 'Thriller']",A former tennis star arranges the murder of his adulterous wife.
160,161,Gone with the Wind,1939,8.2,"['Drama', 'Romance', 'War']",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi... Read all
161,162,V for Vendetta,2005,8.2,"['Action', 'Drama', 'Sci-Fi']","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
162,163,"Lock, Stock and Two Smoking Barrels",1998,8.1,"['Action', 'Comedy', 'Crime']","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
163,164,Raging Bull,1980,8.1,"['Biography', 'Drama', 'Sport']","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
164,165,El Secreto De Sus Ojos,2009,8.2,"['Drama', 'Mystery', 'Romance']",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi... Read all
165,166,Inside Out,2015,8.1,"['Animation', 'Adventure', 'Comedy']","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and... Read all"
166,167,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"['Comedy', 'Crime', 'Drama']",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
167,168,Spider-Man: No Way Home,2021,8.2,"['Action', 'Adventure', 'Fantasy']","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul... Read all"
168,169,Trainspotting,1996,8.1,['Drama'],"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
